Author/Dataset,Language Pair,# Train Set,# Development Set,# Test Set
ryo0634/bsd_ja_en,en-ja,20000,2051,2120
persiannlp/parsinlu_translation_en_fa,fa,1621665,2137,48359
somosnlp-hackathon-2022/Axolotl-Spanish-Nahuatl,es,20028,0,0
somosnlp-hackathon-2022/neutral-es,es,3513,0,96
somosnlp-hackathon-2022/spanish-to-quechua,es-qu,102747,12844,12843
Moo/korean-parallel-corpora,en-ko,96215,1000,2000
csebuetnlp/BanglaNMT,bn-en,2379749,597,1000
AigizK/bashkir-russian-parallel-corpora,ba-ru,1093189,0,0
AigizK/mari-russian-parallel-corpora,ru-mhr,413841,0,0
Deysi/spanish-chinese,es-zh,9092567,0,2273142
bentrevett/multi30k,en-de,29000,1014,1000
pkyoyetera/luganda_english_dataset,lg-en,78238,0,0
turuta/Multi30k-uk,uk-en,29000,0,0
iamwille/igbo-translation,en-ig,8094,0,2699
learningmachineaz/translate_enaz_10m,en-az,9962727,0,0
grosenthal/latin_english_parallel,en-la,99343,1014,1014
PaulineSanchez/Translation_words_and_sentences_english_french,en-fr,175466,0,0
zetavg/coct-en-zh-tw-translations-twp-300k,en-zh,310916,0,0
PaulineSanchez/Dataset_food_translation_fr_en,en-fr,2924,732,0
ahazeemi/opus-medical-en-de,en-de,248099,0,2000
findnitai/english-to-hinglish,hi-en,189102,0,0
anujsahani01/English-Marathi,mr-en,2637962,0,879321
harouzie/vi_en-translation,en-vi,203272,25409,25409
vhtran/en-id,id-en,22021,1000,1000
Nicolas-BZRD/English_French_Webpages_Scraped_Translated,en-fr,17161263,0,0
pythainlp/thai_usembassy,en-th,615,0,0
haryoaw/stif-indonesia,id,1922,0,363
slone/e-mordovia-articles-2023,myv-ru,76400,0,0
HaiderSultanArc/MT-Urdu-English,ur-en,5646138,0,1411535
ImruQays/Quran-Classical-Arabic-English-Parallel-texts,en-ar,6235,0,0
traintogpb/aihub-koen-translation-integrated-large-10m,ko-en,8333207,1041651,1041651
traintogpb/aihub-koen-translation-integrated-base-1m,ko-en,833321,104165,104165
gabrielchua/singlish-to-english-synthetic,en,500,0,0
matekadlicsko/hungarian-news-translations,hu-en,14840,0,4947
Saugatkafley/Nepali-Roman-Transliteration,en-ne,2397414,2804,0
Rogendo/English-Swahili-Sentence-Pairs,sw-en,210471,0,0
Thermostatic/parallel_corpus_webcrawl_english_spanish_1,es-en,21005,0,0
allandclive/Luganda_Sci-Math-Bio_Translations,lg-en,2778,0,0
Dauren-Nur/kaz_eng_parallel,kk-en,377044,0,0
nhuvo/MedEV,en-vi,681794,17878,17920
Dauren-Nur/kaz_rus_parallel_corpora_KAZNU,kk-ru,69162,0,17291
hpprc/tanaka-corpus,en-ja,147876,0,0
hpprc/alt-parallel-en-ja,en-ja,18083,1000,1017
NilanE/ParallelFiction-Ja_En-100k,en-ja,106048,0,0
jinglishi0206/Maori_English_New_Zealand,mi-en,6486,0,0
atlasia/Synthetic-Data-English-Darija,en-ar,1011,0,0
Thermostatic/texts_parallel_corpus_europarl_english_spanish,es-en,95755,0,0
alexantonov/chuvash_russian_parallel,cv-ru,1461485,0,0
liswei/coct-en-zhtw-dedup,zht-zh,216762,0,0
lemon-mint/korean_parallel_sentences_v1.1,en-ko,492564,0,0
Mitsua/wikidata-parallel-descriptions-en-ja,en-ja,1570685,0,0
pollitoconpapass/cuzco-quechua-translation-spanish,es-qu,106432,15112,13305
suyash2739/Hinglish,hi-en,8060,0,960
suyash2739/News_Hinglish_English,hi-en,5001,0,0
traintogpb/aihub-koja-translation-integrated-large-4.3m,ko-ja,4327465,10000,2000
traintogpb/aihub-kozh-translation-integrated-large-5.9m,ko-zh,5922596,10000,2000
iryneko571/CCMatrix-v1-Ja_Zh-fused,ja-zh,0,0,500000
lordjia/Cantonese_English_Translation,en-zh,109942,0,0
lemon-mint/korean_english_parallel_wiki_augmented_v1,en-ko,503245,0,0
mohamed-khalil/ATHAR,en-ar,65043,0,1000
cis-lmu/bavarian_to_english,eng-bar,25711,0,0
Hoshikuzu/TEDtalk-en-ja,en-ja,158535,0,0
PNLPhub/FarsInstruct,fa,9374312,316117,1308596
leks-forever/The_Secret_of_Third_Planet_Rus_Lez,lez-ru,361,0,0
leks-forever/corpus_of_cnal_lezgian_to_russian,lez-ru,762,0,0
billingsmoore/tibetan-to-english-translation-dataset,en-bo,81226,0,9026
projecte-aina/ES-OC_Parallel_Corpus,oc-es,419908,0,0
billingsmoore/tibetan-to-spanish-translation-dataset,es-bo,21493,0,2389
FrancophonIA/french-to-english,en-fr,22520376,0,0
Sakalti/Tylbass,sah-ja,12,0,0
Tsunnami/who-en-th,th-en,538,0,0
slone/myv-rus-2022-quality-annotated,myv-ru,0,1500,1500
lunovian/vietnamese-poem-context,en-vi,299,0,0
SugoiLoki/TranslationTraining,ko-en,3332436,0,0
hpprc/TALPCo,en-ja,1372,0,0
Murtazali/bible-dargwa-russian,ru-dar,5686,0,0
hmar-lang/hmar-language-basic-words,hmr-en,10884,0,0
hmar-lang/hmar-bible-dataset,hmr-en,30484,0,0
khondoker/reveal-bangla,bn-en,356,0,0
achrafothman/aslg_pc12,en-ase,87710,0,0
soarescmsa/capes,en-pt,1157610,0,0
shiyue/chr_en,en-chr,11639,0,256
festvox/cmu_hinglish_dog,hi-en,8060,942,960
Helsinki-NLP/eitb_parcc,eu-es,637183,0,0
airesearch/generated_reviews_enth,th-en,141369,15708,17453
Helsinki-NLP/giga_fren,en-fr,22519904,0,0
community-datasets/hrenwac_para,en-hr,99001,0,0
cahya/id_panl_bppt,id-en,24021,0,0
UdS-LSV/menyo20k_mt,en-yo,10070,3397,6633
Helsinki-NLP/ofis_publik,fr-br,63422,0,0
Helsinki-NLP/opus_dogc,es-ca,4763575,0,0
Helsinki-NLP/opus_elhuyar,eu-es,642348,0,0
Helsinki-NLP/opus_finlex,fi-sv,3114141,0,0
Helsinki-NLP/opus_fiskmo,fi-sv,2100001,0,0
Helsinki-NLP/opus_memat,en-xh,154764,0,0
Helsinki-NLP/opus_montenegrinsubs,cnr-en,65043,0,0
Helsinki-NLP/opus_tedtalks,en-hr,86348,0,0
Helsinki-NLP/opus_xhosanavy,en-xh,49982,0,0
eleftheria/refresd,en-fr,1039,0,0
dumitrescustefan/ro_sts_parallel,ro-en,11499,3001,2759
community-datasets/um005,ur-en,13400,514,457
Helsinki-NLP/wiki_source,en-sv,33283,0,0
wmt/wmt20_mlqe_task3,en-fr,1448,200,180
wmt/wmt_t2t,en-de,4592289,3000,3003
persiannlp/parsinlu_translation_fa_en,fa,1622280,2137,47744
rbawden/DiaBLa,en-fr,0,0,5748
softcatala/Tilde-MODEL-Catalan,de-ca,3434091,0,0
botisan-ai/cantonese-mandarin-translations,zh,24184,0,0
enimai/MuST-C-fr,en-fr,275085,1412,2632
strombergnlp/itu_faroese_danish,da-fo,3995,0,0
Nart/parallel_ab-ru,ab-ru,2,0,0
VanessaSchenkel/translation-en-pt,en-pt,260482,0,0
anzorq/kbd-ru,kbd-ru,16866,444,444
anzorq/kbd_lat-ru,kbd-ru,19377,510,510
Qilex/EN-ME,en-me,56835,0,0
Qilex/EN-MEspecialChars,en-me,58994,0,0
jakartaresearch/inglish,id-en,8701,2901,0
g8a9/europarl_en-it,it-en,1709808,190069,996
darcy01/autotrain-data-opus-mt-en-zh_hanz,en-zh,1,1,0
slone/myv_ru_2022,myv-ru,74503,1500,1500
Bretagne/Korpus-br-fr,fr-br,4532,0,0
din0s/ccmatrix_en-ro,ro-en,1000000,0,0
cjvt/rsdo4_en_sl,en-sl,964433,0,0
woctordho/autotrain-data-lojban-translation,jbo-en,1,1,0
efederici/mt_nap_it,it,14150,0,0
Tritkoman/ENtoANGGNOME,nl-en,1,1,0
warrormac/autotrain-data-my-train,es-en,1,1,0
yhavinga/open_subtitles_en_nl,nl-en,3053242,0,0
Codebmk/opus_ubuntu_lg_to_en,lg-en,1,0,0
ecoue/nordmann2023,en-de,5656659,2754,1831
vietgpt/open_subtitles_envi,en-vi,3505276,0,0
vietgpt/opus100_envi,en-vi,1000000,2000,2000
grosenthal/latin_english_translation,en-la,99343,1014,1014
bbaaaa/iwslt14-de-en,en-de,160239,7283,6750
trondizzy/para_legal,uk-en,981,0,0
trondizzy/acts_laws,uk-en,129940,0,0
trondizzy/XLEnt_v1.2,uk-en,3512335,0,0
trondizzy/uk_en_combined_sets,uk-en,941515,0,0
trondizzy/Tatoeba_v2022_03_03,uk-en,173669,0,0
trondizzy/uk_en_combined_OPUS_sets,uk-en,5023488,0,0
AbderrahmanSkiredj1/arabml_darija_english_parallel_dataset,en-ary,7314,0,0
chenyouyou/translation-en-de,en-de,34,0,34
